Financiera,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,51,81,76,103,83,76.1,90,59,76.2,97,104,99,127,136,118,111,113,83.1,85,74,95,82,32,TOTAL ,% PARTICIPACION
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0632452047693104
ABC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0005184033177812338
Afirme,0,0,0,0,0,0,0,0,18,23,37,42,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.06272680145152928
Banorte,0,0,0,0,0,0,0,0,1,1,2,4,31,41,31,16,44,47,58,48,62,74,50,69,53.0,33.0,33.0,33.0,34.0,15.0,10.0,790.0,0.4095386210471747
BBVA,0,0,0,0,0,0,0,0,12,25,10,14,4,7,3,3,9,3,6,2,6,10,16,6,7.0,10.0,12.0,7.0,11.0,16.0,3.0,202.0,0.10471747019180923
Ensueño,0,0,0,0,0,0,0,0,0,0,0,0,13,7,7,1,4,6,3,9,11,3,18,22,9.0,4.0,3.0,1.0,8.0,8.0,7.0,144.0,0.07465007776049767
FinanMadrid,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0010368066355624676
INBURSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSTART,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,10,8,10,10,6,14,11,15,3,12.0,12.0,9.0,5.0,11.0,6.0,1.0,156.0,0.08087091757387248
Nexu,0,0,0,0,0,0,0,0,19,31,27,42,0,0,0,0,0,0,4,1,5,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.06998444790046657
Santander,0,0,0,0,0,0,0,0,1,0,0,1,35,13,40,29,9,30,22,31,27,32,16,11,26.0,18.0,25.0,21.0,18.0,30.0,7.0,442.0,0.22913426645930535
Scotiabank,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,2,2,2,0,3.0,2.0,1.0,3.0,9.0,6.0,4.0,41.0,0.021254536029030584
Sumafin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0036288232244686366
Bajio ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0005184033177812338
Kuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,9.0,0.004665629860031105
